DBID	Name	Group
DB00001	Lepirudin	approved
DB00002	Cetuximab	approved
DB00003	Dornase alfa	approved
DB00004	Denileukin diftitox	approved, investigational
DB00005	Etanercept	approved, investigational
DB00006	Bivalirudin	approved, investigational
DB00007	Leuprolide	approved, investigational
DB00008	Peginterferon alfa-2a	approved, investigational
DB00009	Alteplase	approved
DB00010	Sermorelin	approved, withdrawn
DB00011	Interferon alfa-n1	approved, investigational
DB00012	Darbepoetin alfa	approved, investigational
DB00013	Urokinase	approved, investigational, withdrawn
DB00014	Goserelin	approved
DB00015	Reteplase	approved, investigational
DB00016	Erythropoietin	approved
DB00017	Salmon calcitonin	approved, investigational
DB00018	Interferon alfa-n3	approved, investigational
DB00019	Pegfilgrastim	approved
DB00020	Sargramostim	approved, investigational
DB00022	Peginterferon alfa-2b	approved
DB00023	Asparaginase Escherichia coli	approved, investigational
DB00024	Thyrotropin alfa	approved, vet_approved
DB00025	Antihemophilic factor, human recombinant	approved, investigational
DB00026	Anakinra	approved
DB00027	Gramicidin D	approved
DB00028	Human immunoglobulin G	approved, investigational
DB00029	Anistreplase	approved
DB00030	Insulin human	approved, investigational
DB00031	Tenecteplase	approved
DB00032	Menotropins	approved
DB00033	Interferon gamma-1b	approved, investigational
DB00034	Interferon alfa-2a	approved, investigational
DB00035	Desmopressin	approved
DB00036	Coagulation factor VIIa Recombinant Human	approved
DB00038	Oprelvekin	approved, investigational
DB00039	Palifermin	approved
DB00040	Glucagon	approved
DB00041	Aldesleukin	approved
DB00042	Botulinum toxin type B	approved, investigational
DB00043	Omalizumab	approved, investigational
DB00044	Lutropin alfa	approved
DB00045	Lyme disease vaccine (recombinant OspA)	approved, withdrawn
DB00046	Insulin lispro	approved
DB00047	Insulin glargine	approved
DB00048	Collagenase clostridium histolyticum	approved, investigational
DB00049	Rasburicase	approved, investigational
DB00050	Cetrorelix	approved, investigational
DB00051	Adalimumab	approved, experimental
DB00052	Somatotropin	approved, investigational
DB00053	Imiglucerase	approved
DB00054	Abciximab	approved
DB00055	Drotrecogin alfa	approved, investigational, withdrawn
DB00056	Gemtuzumab ozogamicin	approved, investigational
DB00057	Indium In-111 satumomab pendetide	experimental, withdrawn
DB00058	Alpha-1-proteinase inhibitor	approved
DB00059	Pegaspargase	approved, investigational
DB00060	Interferon beta-1a	approved, investigational
DB00061	Pegademase	approved
DB00062	Albumin human	approved
DB00063	Eptifibatide	approved, investigational
DB00065	Infliximab	approved
DB00066	Follitropin	approved
DB00067	Vasopressin	approved
DB00068	Interferon beta-1b	approved
DB00069	Interferon alfacon-1	approved, investigational
DB00070	Hyaluronidase (ovine)	approved, investigational
DB00071	Insulin pork	approved
DB00072	Trastuzumab	approved, investigational
DB00073	Rituximab	approved
DB00074	Basiliximab	approved, investigational
DB00075	Muromonab	approved, investigational
DB00076	Digoxin Immune Fab (Ovine)	approved
DB00078	Ibritumomab tiuxetan	approved, investigational
DB00080	Daptomycin	approved, investigational
DB00081	Tositumomab	approved, investigational
DB00082	Pegvisomant	approved
DB00083	Botulinum toxin type A	approved, investigational
DB00085	Pancrelipase	approved, investigational
DB00086	Streptokinase	approved, investigational
DB00087	Alemtuzumab	approved, investigational
DB00088	Alglucerase	approved, investigational
DB00089	Capromab pendetide	approved
DB00090	Laronidase	approved
DB00091	Cyclosporine	approved, investigational, vet_approved
DB00092	Alefacept	approved, investigational, withdrawn
DB00093	Felypressin	experimental
DB00094	Urofollitropin	approved, vet_approved
DB00095	Efalizumab	approved, investigational
DB00097	Choriogonadotropin alfa	approved
DB00098	Antithymocyte immunoglobulin (rabbit)	approved
DB00099	Filgrastim	approved
DB00100	Coagulation Factor IX (Recombinant)	approved, investigational
DB00102	Becaplermin	approved, investigational
DB00103	Agalsidase beta	approved, investigational
DB00104	Octreotide	approved, investigational
DB00105	Interferon alfa-2b	approved
DB00106	Abarelix	approved, investigational, withdrawn
DB00107	Oxytocin	approved, vet_approved
DB00108	Natalizumab	approved, investigational
DB00109	Enfuvirtide	approved, investigational
DB00110	Palivizumab	approved, investigational
DB00111	Daclizumab	investigational, withdrawn
DB00112	Bevacizumab	approved, investigational
DB00113	Technetium Tc-99m arcitumomab	experimental
DB00114	Pyridoxal phosphate	approved, investigational, nutraceutical
DB00115	Cyanocobalamin	approved, nutraceutical
DB00116	Tetrahydrofolic acid	nutraceutical
DB00117	Histidine	investigational, nutraceutical
DB00118	Ademetionine	approved, investigational, nutraceutical
DB00119	Pyruvic acid	approved, investigational, nutraceutical
DB00120	Phenylalanine	approved, investigational, nutraceutical
DB00121	Biotin	approved, investigational, nutraceutical
DB00122	Choline	approved, nutraceutical
DB00123	Lysine	approved, nutraceutical
DB00125	Arginine	investigational, nutraceutical
DB00126	Ascorbic acid	approved, nutraceutical
DB00127	Spermine	experimental, nutraceutical
DB00128	Aspartic acid	approved, nutraceutical
DB00129	Ornithine	approved, nutraceutical
DB00130	L-Glutamine	approved, investigational, nutraceutical
DB00131	Adenosine phosphate	approved, investigational, nutraceutical
DB00132	alpha-Linolenic acid	approved, investigational, nutraceutical
DB00133	Serine	investigational, nutraceutical
DB00134	Methionine	approved, nutraceutical
DB00135	Tyrosine	approved, investigational, nutraceutical
DB00136	Calcitriol	approved, nutraceutical
DB00137	Lutein	approved, investigational, nutraceutical
DB00138	Cystine	approved, nutraceutical
DB00139	Succinic acid	approved, nutraceutical
DB00140	Riboflavin	approved, investigational, nutraceutical, vet_approved
DB00141	N-Acetylglucosamine	approved, investigational, nutraceutical
DB00142	Glutamic acid	approved, nutraceutical
DB00143	Glutathione	approved, investigational, nutraceutical
DB00144	Phosphatidyl serine	investigational, nutraceutical
DB00145	Glycine	approved, nutraceutical, vet_approved
DB00146	Calcifediol	approved, nutraceutical
DB00147	Pyridoxal	experimental, nutraceutical
DB00148	Creatine	approved, investigational, nutraceutical
DB00149	Leucine	investigational, nutraceutical
DB00150	Tryptophan	approved, nutraceutical, withdrawn
DB00151	Cysteine	approved, nutraceutical
DB00152	Thiamine	approved, investigational, nutraceutical, vet_approved
DB00153	Ergocalciferol	approved, nutraceutical
DB00154	Dihomo-gamma-linolenic acid	investigational, nutraceutical
DB00155	Citrulline	investigational, nutraceutical
DB00156	Threonine	approved, nutraceutical
DB00157	NADH	approved, nutraceutical
DB00158	Folic acid	approved, nutraceutical, vet_approved
DB00159	Icosapent	approved, nutraceutical
DB00160	Alanine	nutraceutical
DB00161	Valine	approved, nutraceutical
DB00162	Vitamin A	approved, nutraceutical, vet_approved
DB00163	Vitamin E	approved, nutraceutical, vet_approved
DB00165	Pyridoxine	approved, investigational, nutraceutical, vet_approved
DB00166	Lipoic acid	approved, investigational, nutraceutical
DB00167	Isoleucine	investigational, nutraceutical
DB00168	Aspartame	investigational, nutraceutical
DB00169	Cholecalciferol	approved, nutraceutical
DB00170	Menadione	approved, nutraceutical
DB00171	ATP	investigational, nutraceutical
DB00172	Proline	nutraceutical
DB00173	Adenine	approved, nutraceutical
DB00174	Asparagine	approved, investigational, nutraceutical
DB00175	Pravastatin	approved
DB00176	Fluvoxamine	approved, investigational
DB00177	Valsartan	approved, investigational
DB00178	Ramipril	approved
DB00179	Masoprocol	approved, investigational
DB00180	Flunisolide	approved, investigational
DB00181	Baclofen	approved
DB00182	Amphetamine	approved, illicit, investigational
DB00183	Pentagastrin	approved
DB00184	Nicotine	approved
DB00185	Cevimeline	approved
DB00186	Lorazepam	approved
DB00187	Esmolol	approved
DB00188	Bortezomib	approved, investigational
DB00189	Ethchlorvynol	approved, illicit, withdrawn
DB00190	Carbidopa	approved
DB00191	Phentermine	approved, illicit
DB00192	Indecainide	approved
DB00193	Tramadol	approved, investigational
DB00194	Vidarabine	approved, investigational
DB00195	Betaxolol	approved, investigational
DB00196	Fluconazole	approved, investigational
DB00197	Troglitazone	approved, investigational, withdrawn
DB00198	Oseltamivir	approved
DB00199	Erythromycin	approved, investigational, vet_approved
DB00200	Hydroxocobalamin	approved
DB00201	Caffeine	approved
DB00202	Succinylcholine	approved
DB00203	Sildenafil	approved, investigational
DB00204	Dofetilide	approved, investigational
DB00205	Pyrimethamine	approved, investigational, vet_approved
DB00206	Reserpine	approved, investigational
DB00207	Azithromycin	approved
DB00208	Ticlopidine	approved
DB00209	Trospium	approved
DB00210	Adapalene	approved
DB00211	Midodrine	approved
DB00212	Remikiren	experimental
DB00213	Pantoprazole	approved
DB00214	Torasemide	approved
DB00215	Citalopram	approved
DB00216	Eletriptan	approved, investigational
DB00217	Bethanidine	approved
DB00218	Moxifloxacin	approved, investigational
DB00219	Oxyphenonium	approved
DB00220	Nelfinavir	approved
DB00221	Isoetharine	approved
DB00222	Glimepiride	approved
DB00223	Diflorasone	approved
DB00224	Indinavir	approved
